#RANDOM
#Tamanho	 Tempo		 Comparacao	 trocas
 100		 0.000003	548		680
 10000		 0.000147	121029		134311
 50000		 0.000553	839146		918792
 100000		 0.000764	2375419		2587738
 500000		 0.002563	11212385		12063470
 1000000		 0.004504	29886874		32014915
